utc,elapsed,rss_kb,footprint,threads,pcpu
2026-08-27T09:33:25Z,01-08:38:14,177968,203.7M,37,7.8
2026-08-27T09:38:26Z,01-08:43:15,186800,200.9M,35,7.5
2026-08-27T09:43:27Z,01-08:48:16,292800,204.0M,35,7.1
2026-08-27T09:48:29Z,01-08:53:17,173808,204.3M,37,8.6
2026-08-27T09:53:31Z,01-08:58:19,173440,203.8M,35,4.1
2026-08-27T09:58:32Z,01-09:03:21,321824,206.0M,36,8.2
2026-08-27T10:03:33Z,01-09:08:22,189520,204.0M,35,6.1
2026-08-27T10:08:36Z,01-09:13:23,199664,203.8M,37,8.1
2026-08-27T10:13:37Z,01-09:18:26,330896,202.6M,36,4.4
2026-08-27T10:18:38Z,01-09:23:27,176768,202.5M,35,10.9
2026-08-27T10:23:40Z,01-09:28:28,176128,203.3M,38,8.7
2026-08-27T10:28:41Z,01-09:33:30,316672,209.7M,37,13.2
2026-08-27T10:33:43Z,01-09:38:32,186624,209.0M,35,5.3
2026-08-27T10:38:44Z,01-09:43:33,221520,204.2M,35,4.4
2026-08-27T10:43:45Z,01-09:48:34,264224,204.3M,37,8.7
2026-08-27T10:48:46Z,01-09:53:35,202960,205.5M,35,1.8
2026-08-27T10:53:48Z,01-09:58:37,177072,204.4M,39,4.1
2026-08-27T10:58:49Z,01-10:03:38,293904,207.1M,35,4.5
2026-08-27T11:03:50Z,01-10:08:39,181584,205.7M,35,7.3
2026-08-27T11:08:51Z,01-10:13:40,178800,206.4M,36,10.0
2026-08-27T11:13:52Z,01-10:18:41,250864,160.4M,36,9.0
2026-08-27T11:18:53Z,01-10:23:42,178208,160.2M,37,4.1
2026-08-27T11:23:55Z,01-10:28:43,152240,158.8M,37,2.1
2026-08-27T11:28:56Z,01-10:33:45,155600,161.8M,35,8.4
2026-08-27T11:33:57Z,01-10:38:46,146544,161.1M,35,6.0
2026-08-27T11:38:58Z,01-10:43:47,159680,159.2M,35,5.3
2026-08-27T11:43:59Z,01-10:48:48,155408,160.8M,38,8.3
2026-08-27T11:49:01Z,01-10:53:49,154736,161.1M,35,6.7
2026-08-27T11:54:02Z,01-10:58:51,142992,161.1M,35,7.8
2026-08-27T11:59:03Z,01-11:03:52,210768,159.7M,35,5.8
2026-08-27T12:04:04Z,01-11:08:53,151520,159.3M,35,8.2
2026-08-27T12:09:05Z,01-11:13:54,151184,160.3M,37,8.0
